id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,6.9,0.725,0.0,2.4,0.093,14.0,31.0,0.9964,3.48,0.54,9.8,5.0
1,7.2,0.61,0.06,1.6,0.084,6.0,14.0,0.99765,3.53,0.75,10.9,7.0
2,9.3,0.31,0.34,2.7,0.084,32.0,71.0,0.9976,3.25,0.87,9.3,7.0
3,6.4,0.44,0.09,2.5,0.0819999999999999,4.0,12.0,0.99498,3.32,0.84,9.8,6.0
4,7.8,0.54,0.0,1.8,0.08,15.0,37.0,0.9972,3.52,0.56,9.8,5.0
5,10.2,0.18,0.54,2.5,0.08,14.0,62.0,0.9982,3.31,0.59,9.7,6.0
6,6.4,0.49,0.22,1.8,0.077,13.0,27.0,0.99566,3.38,0.6,10.1,5.0
7,7.1,0.59,0.08,1.8,0.068,16.0,35.0,0.99668,3.47,0.64,9.2,4.0
8,7.5,0.655,0.0,2.3,0.0819999999999999,7.0,18.0,0.99444,3.51,0.87,9.6,6.0
9,7.4,0.53,0.31,2.1,0.093,34.0,52.0,0.9972,3.23,0.64,11.3,7.0
10,5.9,0.41,0.39,2.1,0.079,6.0,18.0,0.9952,3.39,0.93,10.4,6.0
11,7.7,0.59,0.09,1.8,0.08,16.0,28.0,0.9971,3.38,0.63,9.4,4.0
12,7.3,0.43,0.39,2.6,0.076,15.0,37.0,0.99623,3.51,0.61,9.4,5.0
13,8.8,0.6,0.07,2.4,0.063,6.0,23.0,0.997,3.52,0.67,11.5,5.0
14,7.7,0.53,0.17,2.6,0.076,16.0,53.0,0.99825,3.28,0.51,9.8,7.0
15,9.0,0.28,0.53,2.0,0.092,12.0,49.0,0.9982,3.08,0.77,9.4,8.0
16,8.6,0.43,0.4,2.6,0.081,10.0,28.0,0.9972,3.2,0.71,9.7,6.0
17,8.9,0.24,0.49,2.0,0.079,6.0,20.0,0.9986,3.3,0.62,9.5,4.0
18,8.2,0.31,0.39,1.8,0.0819999999999999,6.0,32.0,0.99572,3.41,0.53,9.8,8.0
19,8.9,0.35,0.43,1.8,0.08,5.0,17.0,0.99652,3.35,0.62,9.5,5.0
20,7.3,0.52,0.05,2.1,0.0819999999999999,16.0,84.0,0.9964,3.4,0.57,9.4,5.0
21,10.4,0.42,0.25,2.3,0.064,6.0,16.0,0.9976,3.32,0.8,11.3,6.0
22,8.1,0.32,0.34,2.3,0.073,36.0,69.0,0.9988,3.19,0.76,12.0,7.0
23,7.8,0.42,0.17,2.0,0.048,5.0,19.0,0.9964,3.3,0.57,9.2,5.0
24,7.9,0.57,0.01,1.8,0.078,9.0,18.0,0.99492,3.3,0.62,11.0,7.0
25,12.8,0.43,0.49,1.8,0.08,25.0,60.0,0.9994,3.15,0.75,12.8,7.0
26,6.1,0.38,0.46,1.9,0.08,16.0,67.0,0.9976,3.35,0.6,14.0,7.0
27,8.8,0.5,0.4,2.4,0.08,14.0,86.0,0.9968,3.17,0.63,9.6,5.0
28,10.3,0.42,0.49,2.0,0.094,18.0,20.0,0.9982,3.07,0.58,11.4,6.0
29,7.2,0.725,0.02,1.9,0.092,20.0,44.0,0.99726,3.28,0.48,9.4,5.0
30,6.3,0.715,0.04,2.1,0.08,23.0,44.0,0.9956,3.53,0.69,10.0,6.0
31,5.6,0.67,0.02,2.5,0.075,24.0,58.0,0.99572,3.54,0.6,10.5,5.0
